Q,A,label
화남,분노의 엉덩이댄스!!,3
화남,화날땐 부리부리~,3
화남,화날땐 하나둘셋 야!,3
화남,우이씨,3
화남,뚜씨 뚜씨,3
화남,저 지금 기분 나빠여,3
화남,킹받네,3
화남,열받아!!!,3
화남,선넘네?,3
화남,시러!,3
화남,때려쳐!,3
화남,안해.,3
화남,뭘 봐,3
화남,부들부들,3
화남,몰라 배째,3
화남,님 경고요,3
화남,이런XXXX!!!,3
화남,건들지 마세요,3
화남,뿌우! 나 화났어,3
화남,짜증나,3


역겨움,으익 맛없는 표정!,3
역겨움,우웩 표정이 썩었어~,3
역겨움,너 혹시 뭐 돼?,3
역겨움,진짜 별로다.,3
역겨움,거.북.해.,3
역겨움,절레절레,3
역겨움,으이구 애기야~,3
역겨움,어쩌라고,3
역겨움,다시는 보지말자,3
역겨움,토나와,3
역겨움,왜저래?,3
역겨움,에휴
역겨움,미쳤어?
역겨움,어이없어

두려움,무서워 부리부리~,3
두려움,무섭다 무섭다.,3
두려움,헉 ㄷㄷ,3
두려움,너무 무서워ㅜ,3
두려움,으아아유ㅠ 걱정돼ㅠㅠ,3
두려움,흐억,3
두려움,후덜덜,3
두려움,으아아아ㅜㅜ,3
두려움,살려줘ㅠㅠ,3
두려움,도와줘ㅠㅠ,3
두려움,엄마보다 무서워,3
두려움,어떡해ㅠㅠ,3
두려움,으악! 마귀할멈이다!,3

행복,행복해,3
행복,행복하당,3
행복,행복함의 부리부리~,3
행복,당신은 지금 행복해요.,3
행복,나는야 행복한 사람!,3
행복,으헤헤헤헿,3
행복,기분죠아,3
행복,좋아요,3
행복,헤헷,3
행복,행복행복 액션가면~~,3
행복,즐겁당,3
행복,친구들 만나러가야지~~,3
행복,가보자고!,3
행복,아이 조아,3
행복,우하하하,3
행복,햅삐,3
행복,기분이 확 좋아져부렀으~,3
행복,야호~,3
행복,오예!,3
행복,구~웃!,3
행복,나이스,3
행복,액션빔~!!,3

슬픔,슬퍼요ㅠ,3
슬픔,슬픔의 눈물댄스~,3
슬픔,슬퍼슬퍼 부리부리@@,3
슬픔,슬픔의 눈물댄스ㅠ,3
슬픔,슬픔의 댄스댄스,3
슬픔,슬플땐 흰둥이랑 놀아요,3
슬픔,슬플땐 철수 괴롭히기!,3
슬픔,ㅜㅜㅜ,3
슬픔,..거짓말,3
슬픔,그럴리없어..,3
슬픔,말도 안 돼..,3
슬픔,울고싶어ㅠ,3
슬픔,눈물나ㅠ,3

놀람,하나둘셋야! 놀랐지?,3
놀람,놀람의 부리부리~,3
놀람,놀람놀람 액션가면~~,3
놀람,으익 깜짝이야, 3
놀람,당신은 지금 놀라운 상태!!,3
놀람,잠깐!!,3
놀람,뭐어..?!,3
놀람,엥?,3
놀람,진짜?,3
놀람,실화야???,3
놀람,왜애??,3
놀람,왜??,3
놀람,헉!,3
놀람,에반데,3

중립,나는 무표정 생각이없지!,3
중립,나는 액션가면 하하하!,3
중립,좀 더 웃어봐~,3
중립,쉿 무표정 유지중~,3
중립,Aㅏ..,3
중립,흐음..,3
중립,멍 때리는 중,3
중립,머엉,3
중립,어떡하지 표정~,3
중립,배고파,3
중립,졸려,3
